interaction_title	interaction_type	feature	category_key	feature_id	status	summary	related_region	menu	shortcut	preconditions	edge_cases	acceptance_criteria
Show Indexing Status	display	Monitor Indexing Status	EIX	EIX-002	준비 완료	인덱싱 큐 길이, 진행률에 대한 엔트리 인덱싱 상태를 요약해 표시	file_manager_window.sidebar.sidebar_footer	-	-	- 엔트리 인덱싱이 진행 중인 상태	- 엔트리 인덱싱이 진행 중인데 인덱싱 상태 요약 표시가 노출되지 않는 경우 - 인덱싱 상태 요약 표시가 노출된 상태에서 인덱싱이 완료·일시 중지·실패로 전환되는 경우	- 엔트리 인덱싱이 진행 중인 상태일 때, 시스템이 인덱싱 상태를 집계하면, 인덱싱 큐 길이와 진행률을 요약해 표시함 - 엔트리 인덱싱이 진행 중인 상태일 때, 시스템이 인덱싱 상태를 갱신하면, 요약 표시의 큐 길이·진행률 값을 최신 상태로 업데이트함 - 엔트리 인덱싱이 진행 중인 상태일 때, 인덱싱 상태 요약 표시가 노출되지 않는다면, 시스템이 인덱싱 상태를 갱신해 요약 표시를 다시 노출함 - 인덱싱이 완료·일시 중지·실패로 전환될 때, 시스템이 상태 전환을 반영하면, 요약 표시를 전환된 상태에 맞게 갱신함
Pause Entry Indexing	command	Monitor Indexing Status	EIX	EIX-002	준비 완료	백그라운드 엔트리 인덱싱 작업을 일시 중지하고, 이후 재개할 수 있도록 현재 인덱싱 대기 상태를 유지	file_manager_window.sidebar.sidebar_footer	-	-	- 엔트리 인데싱이 실행 중인 상태  - 엔트리 인덱싱이 일시 중지 상태가 아닌 상태	- 일시 중지 요청 시점에 인덱싱이 이미 완료·실패로 전환된 경우 - 일시 중지 상태에서 파일 시스템 변경이 발생하는 경우	- 엔트리 인덱싱이 계속 진행 중일 때, 사용자가 해당 인터랙션을 호출하면, 시스템이 엔트리 인덱싱을 일시 중지 상태로 전환하고 인덱싱 큐의 처리를 중단함 - 엔트리 인덱싱이 일시 중지 상태로 전환될 때, 시스템이 상태 전환을 반영하면, 인덱싱 상태 요약 표시를 일시 중지 상태로 갱신함 - 일시 중지 요청 시점에 인덱싱이 이미 완료·실패로 전환된 경우일 때, 시스템이 일시 중지를 처리하면, 일시 중지 상태로 전환하지 않고 전환된 상태를 유지함 - 일시 중지 상태에서 파일 시스템 변경이 발생하는 경우일 때, 시스템이 이벤트를 처리하면, 변경 이벤트를 기준으로 즉시 인덱싱을 수행하지 않고 재개 시점에 델타 스캔으로 변경분을 수집해 인덱싱 큐에 반영함
Resume Entry Indexing	command	Monitor Indexing Status	EIX	EIX-002	준비 완료	일시 중지된 엔트리 인덱싱 작업을 재개	file_manager_window.sidebar.sidebar_footer	-	-	- 엔트리 인덱싱이 일시 중지된 상태	- 재개 시점에 스토리지 연결 해제 또는 권한 문제로 델타 스캔이 불완전한 경우 - 재개 시점에 변경분이 매우 많아 큐 처리가 지연되는 경우	- 엔트리 인덱싱이 일시 중지된 상태일 때, 사용자가 해당 인터랙션을 호출하면, 시스템이 일시 중지를 해제하고 인덱싱 큐의 처리를 재개함 - 엔트리 인덱싱을 재개할 때, 시스템이 델타 스캔을 수행하면, 마지막 인덱싱 기준 이후 변경된 엔트리를 수집해 인덱싱 큐에 반영함 - 재개 시점에 스토리지 연결 해제 또는 권한 문제로 델타 스캔이 불완전한 경우일 때, 시스템이 델타 스캔 결과를 반영하면, 접근 가능한 범위의 변경분만 큐에 반영하고 접근 불가 범위는 실패 또는 누락으로 기록함 - 재개 시점에 변경분이 매우 많아 큐 처리가 지연되는 경우일 때, 시스템이 인덱싱 큐를 처리하면, 작업을 배치로 분할하고 처리량을 제어하면서 진행 상태를 갱신함
Show Indexing Failures	display	Monitor Indexing Status	EIX	EIX-002	준비 완료	인덱싱 실패 항목들을 나열하고, 각 항목의 실패 단계와 오류 요약을 표시	file_manager_window.sidebar.sidebar_footer	-	-	- 인덱싱 실패 항목이 존재하는 상태	- 대상 엔트리가 삭제되었거나 경로가 변경되어 실패 항목의 표시 정보가 불완전한 경우 - 실패 항목의 오류 요약을 생성·조회할 수 없는 경우	- 인덱싱 실패 항목이 존재하는 상태일 때, 시스템이 실패 항목 목록을 표시하면, 실패 항목들을 리스트로 나열함  - 실패 항목 목록을 표시가 될 때, 대상 엔트리가 삭제되었거나 경로가 변경되어 표시 정보가 불완전하다면, 마지막으로 기록된 식별 정보로 항목을 표시하고, 현재 정보 확인 불가 상태를 함께 표시함 - 실패 항목 목록을 표시가 될 때, 실패 항목의 오류 요약을 생성·조회할 수 없다면, 오류 요약 대신 요약 불가 상태를 표시하고 실패 단계는 표시함 - 실패 항목 목록 표시를 확인할 때, 사용자가 추가적인 인터랙션을 한다면, 각 항목별로 실패 단계와 오류 요약을 확인할 수 있음
Retry Selected Indexing Failure	command	Monitor Indexing Status	EIX	EIX-002	준비 완료	선택한 인덱싱 실패 항목의 인덱싱을 재시도	file_manager_window.sidebar.sidebar_footer	-	-	- 인덱싱 실패 항목이 선택된 상태	- 실패 원인이 지속되어 재시도가 반복 실패하는 경우 - 대상 엔트리가 삭제되었거나 경로가 변경되어 재시도가 불가능한 경우	- 인덱싱 실패 항목이 선택된 상태일 때, 사용자가 해당 인터랙션을 호출하면, 시스템이 선택한 실패 항목을 재시도 작업으로 등록하고 항목 상태를 재시도 진행 상태로 갱신함 - 실패 항목 인덱싱 재시도를 했을 때, 실패 원인이 지속되어 재시도가 반복 실패한다면, 실패 상태를 유지하고 오류 요약을 최신 정보로 갱신함 - 실패 항목 인덱싱 재시도를 했을 때, 대상 엔트리가 삭제되었거나 경로가 변경되어 재시도가 불가능하다면, 재시도 불가 사유를 기록하고 항목 상태를 실패로 유지함
Show Indexed Entries	display	Configure Indexed Entries	EIX	EIX-003	준비 완료	인덱싱이 완료된 엔트리 목록을 표시	settings_window.settings_body.tab_indexing	-	-	- 인덱싱 설정 화면이 표시된 상태	- 인덱싱 대상이 비어 있는 경우 - 인덱싱 상태 갱신 중이라 트리 목록이 일시적으로 최신이 아닌 경우	- 인덱싱 설정 화면이 표시된 상태일 때, 시스템이 인덱싱 완료 엔트리 목록을 로드하면, 인덱싱이 완료된 엔트리를 계층 구조의 리스트로 표시함 - 인덱싱이 완료된 엔트리가 없는 경우일 때, 시스템이 트리 리스트를 표시하면, 빈 상태를 표시함 - 인덱싱이 진행 중인 상태일 때, 시스템이 인덱싱 완료 상태를 갱신하면, 트리 리스트에 새로 완료된 엔트리를 반영해 목록을 갱신함 - 트리 리스트가 표시된 상태일 때, 사용자가 경로 노드를 확장·접기하면, 시스템이 해당 하위 노드를 표시하거나 숨김 처리함
Show Indexing Exclusion Rules	display	Configure Indexed Entries	EIX	EIX-003	준비 완료	gitignore와 같은 정규표현식 규칙 기반으로 인덱싱에서 제외되는 경로·패턴 규칙을 표시	settings_window.settings_body.tab_indexing	-	-	- 인덱싱 설정 화면이 표시된 상태	- 제외 목록이 비어 있는 경우	- 인덱싱 설정 화면이 표시된 상태일 때, 시스템이 제외 규칙을 로드하면, gitignore와 같은 정규표현식 규칙 기반 제외 규칙 목록을 표시함 - 제외 목록이 비어 있는 경우일 때, 시스템이 규칙 목록을 표시하면, 빈 상태를 표시함
Create Indexing Exclusion Rule	command	Configure Indexed Entries	EIX	EIX-003	준비 완료	인덱싱 제외 규칙을 새로 생성해 규칙 목록에 추가	settings_window.settings_body.tab_indexing	-	-	- 제외 규칙 편집 화면이 표시된 상태	- 입력한 경로·패턴이 유효하지 않아 규칙을 저장할 수 없는 경우 - 새 규칙이 기존 규칙과 중복되는 경우	- 제외 규칙 편집 화면이 표시된 상태일 때, 사용자가 규칙 생성을 저장하면, 시스템이 새 제외 규칙을 생성하고 규칙 목록에 반영함 - 입력한 경로·패턴이 유효하지 않은 경우일 때, 사용자가 저장하면, 시스템이 저장을 차단하고 유효하지 않은 입력을 표시함 - 새 규칙이 기존 규칙과 중복되는 경우일 때, 사용자가 저장하면, 시스템이 저장을 차단하거나 충돌을 해소하도록 안내함
Update Indexing Exclusion Rule	command	Configure Indexed Entries	EIX	EIX-003	준비 완료	기존 인덱싱 제외 규칙을 수정해 규칙 목록에 반영	settings_window.settings_body.tab_indexing	-	-	- 제외 규칙 편집 화면이 표시된 상태 - 수정할 제외 규칙이 선택된 상태	- 입력한 경로·패턴이 유효하지 않아 규칙을 저장할 수 없는 경우 - 수정 결과가 기존 규칙과 중복되는 경우	- 수정할 제외 규칙이 선택된 상태일 때, 사용자가 규칙 수정을 저장하면, 시스템이 해당 규칙을 갱신하고 규칙 목록에 반영함 - 입력한 경로·패턴이 유효하지 않은 경우일 때, 사용자가 저장하면, 시스템이 저장을 차단하고 유효하지 않은 입력을 표시함 - 수정 결과가 기존 규칙과 중복되는 경우일 때, 사용자가 저장하면, 시스템이 저장을 차단하거나 충돌을 해소하도록 안내함
Delete Indexing Exclusion Rule	command	Configure Indexed Entries	EIX	EIX-003	준비 완료	선택한 인덱싱 제외 규칙을 삭제해 규칙 목록에서 제거	settings_window.settings_body.tab_indexing	-	-	- 삭제할 제외 규칙이 선택된 상태	-	- 삭제할 제외 규칙이 선택된 상태일 때, 사용자가 삭제를 확정하면, 시스템이 해당 규칙을 삭제하고 규칙 목록에 반영함
Edit Indexing Exclusion Rules	input	Configure Indexed Entries	EIX	EIX-003	취소	경로·패턴·조건 기반 인덱싱 제외 규칙을 생성·수정·삭제할 수 있는 설정 화면을 엶		-	-	- 인덱싱 설정 화면이 표시된 상태	- 입력한 경로·패턴이 유효하지 않아 규칙을 저장할 수 없는 경우 - 새 규칙이 기존 규칙과 중복되거나 충돌하는 경우	- 인덱싱 설정 화면이 표시된 상태일 때, 사용자가 제외 규칙 추가를 시작하면, 시스템이 제외 규칙을 입력해 추가할 수 있는 창을  표시함 - 사용자가 규칙을 추가·수정·삭제한, 사용자가 저장하면, 시스템이 변경 사항을 저장하고 이후 인덱싱 대상 판단에 적용함 - 입력한 경로·패턴이 유효하지 않아 규칙을 저장할 수 없는 경우일 때, 사용자가 저장하면, 시스템이 저장을 차단하고 유효하지 않은 입력을 표시함
Exclude Selected Entries from Indexing	command	Configure Indexed Entries	EIX	EIX-003	기획 완료	선택한 엔트리의 경로를 인덱싱 제외 규칙으로 추가할 수 있도록 제외 규칙 편집 화면을 열고, 선택 항목 기반 규칙 초안을 미리 채움		-	-	- 하나 이상의 인덱싱된 엔트리가 선택된 상태	- 선택한 대상이 인덱싱 큐에 대기 중이거나 인덱싱 진행 중인 경우  - 선택한 대상의 경로를 제외 규칙 초안으로 생성할 수 없는 경우	- 하나 이상의 인덱싱된 엔트리가 선택된 상태일 때, 사용자가 해당 인터랙션을 호출하면, 시스템이 제외 규칙 편집 화면을 표시하고 선택 항목 기반 제외 규칙 초안을 미리 채움 - 선택한 대상이 인덱싱 큐에 대기 중이거나 인덱싱 진행 중인 경우일 때, 시스템이 제외 규칙 초안을 생성해 표시하면, 진행 중인 인덱싱은 즉시 중단하지 않고 제외 규칙 저장 이후부터 적용되도록 처리함 - 선택한 대상의 경로를 제외 규칙 초안으로 생성할 수 없는 경우일 때, 시스템이 편집 화면을 표시하면, 규칙을 수동 입력할 수 있도록 상태로 표시함
Index System Property	background	Index System Properties	EIX	EIX-004	배포 완료	새로 인덱싱 대상이 되었거나 시스템 프로퍼티가 변경된 Entry의 경로·이름·확장자·용량·생성·수정 시각 등을 수집해 시스템 프로퍼티 인덱스를 갱신	-	-	-	- 대상 Entry가 인덱싱 대상으로 분류된 상태 - 대상 Entry에 대한 파일 접근 권한이 확보된 상태	- 수집 중 대상 Entry가 이동·이름 변경되어 경로가 변하는 경우 - 대상 Entry가 심볼릭 링크 또는 별칭 등으로 실제 경로 해석이 필요한 경우 - 권한 또는 스토리지 연결 문제로 메타데이터 조회가 실패하는 경우	- 대상 Entry가 인덱싱 대상인 상태일 때, 시스템이 수집을 수행하면, 경로·이름·확장자·용량·생성/수정 시각 등 시스템 프로퍼티 인덱스를 갱신함. - 대상 Entry의 시스템 프로퍼티가 변경된 상태일 때, 시스템이 증분 갱신을 수행하면, 변경된 값을 인덱스에 반영함. - 수집이 실패한 상태일 때, 시스템이 오류를 기록하면, 실패 원인을 저장하고 재시도 가능 상태로 유지함.
Index Content-based Properties	background	Index Content-based Properties	EIX	EIX-005	드래프트	새로 인덱싱 대상이 되었거나 내용이 변경된 Entry에 대해 포맷에 따라 내용을 파싱해 텍스트·메타데이터 등 콘텐츠 기반 프로퍼티를 추출하고 인덱스를 갱신	-	-	-	- 콘텐츠 기반 프로퍼티 추출 기능이 활성화된 상태 - 대상 Entry가 지원 포맷으로 분류된 상태 - 대상 Entry의 콘텐츠를 읽을 수 있는 권한이 확보된 상태	- 대상 Entry가 암호화·DRM·권한 제한 등으로 내용을 읽을 수 없는 경우 - 대상 Entry가 손상되었거나 포맷 파싱에 실패하는 경우 - 대상 Entry가 대용량이라 제한된 크기만 부분 파싱해야 하는 경우 - 콘텐츠가 이미지 기반(스캔 PDF 등)이라 텍스트 추출이 제한되는 경우	- 대상 Entry가 신규 인덱싱 대상이 된 상태일 때, 시스템이 파이프라인을 실행하면, 콘텐츠 기반 프로퍼티를 추출하고 저장함. - 대상 Entry의 콘텐츠가 변경된 상태일 때, 시스템이 재추출을 수행하면, 자동 프로퍼티 값을 최신 값으로 갱신함. - 추출이 실패한 상태일 때, 시스템이 실패를 기록하면, 실패 항목을 상태 패널에서 재시도 가능 상태로 표시함.
Re-extract Content-based Properties for Selection	command	Index Content-based Properties	EIX	EIX-005	드래프트	선택한 Entry 집합에 대해 포맷에 맞는 콘텐츠 프로퍼티 추출 파이프라인을 수동 실행해 자동 프로퍼티 값을 재계산·복구하고 Entry 프로퍼티로 저장	-	-	-	- 하나 이상의 Entry가 선택된 상태 - 선택한 Entry가 콘텐츠 기반 프로퍼티 추출 대상 포맷인 상태 - 콘텐츠 기반 프로퍼티 추출 기능이 활성화된 상태	- 선택한 Entry 중 일부가 지원하지 않는 포맷이거나 콘텐츠 읽기가 불가능한 경우 - 선택한 Entry가 매우 많아 작업이 배치로 분할되어야 하는 경우 - 선택한 Entry가 현재 자동 추출 작업이 진행 중이라 중복 실행이 되는 경우	- Entry가 선택된 상태일 때, 사용자가 해당 인터랙션을 호출하면, 선택한 Entry에 대해 콘텐츠 기반 프로퍼티 재추출 작업을 큐에 등록함. - 재추출이 완료된 상태일 때, 시스템이 결과를 반영하면, 자동 프로퍼티 값을 재계산해 Entry 프로퍼티로 저장함. - 재추출이 실패한 상태일 때, 시스템이 오류를 기록하면, 실패 항목을 실패 목록에 추가하고 오류 상세를 조회 가능하게 함.
Extract Document Properties	background	Extract Document Properties	EIX	EIX-006	드래프트	문서·프레젠테이션 계열 Entry에서 문서 타입·제목·클라이언트·프로젝트·요약 등 문서 관련 자동 프로퍼티를 추출해 Entry 프로퍼티로 저장	-	-	-	- 대상 Entry가 문서·프레젠테이션 계열 포맷으로 분류된 상태 - 문서 프로퍼티 추출 파이프라인이 활성화된 상태 - 대상 Entry의 콘텐츠를 읽을 수 있는 권한이 확보된 상태	- 문서가 암호화·잠금 상태이거나 권한 제한으로 열람할 수 없는 경우 - 문서가 손상되었거나 포맷 파서가 지원하지 않는 버전인 경우 - 문서에 텍스트가 거의 없거나 이미지 기반이라 입력이 부족한 경우	- 대상 Entry가 문서 포맷인 상태일 때, 시스템이 추출을 수행하면, 문서 타입·제목·요약·키포인트 등 자동 프로퍼티를 저장함. - 추출된 프로퍼티가 존재하는 상태일 때, 사용자가 해당 Entry를 조회하면, 자동 프로퍼티를 필터·정렬·검색 조건으로 활용할 수 있게 함. - 추출이 실패한 상태일 때, 시스템이 실패를 기록하면, 실패 원인과 대상 Entry를 오류 상세로 조회 가능하게 함.
Extract Code Properties	background	Extract Code Properties	EIX	EIX-007	드래프트	코드 Entry에서 언어·주요 모듈/엔트리포인트·프레임워크·간단 요약 등 코드 관련 자동 프로퍼티를 추출해 Entry 프로퍼티로 저장	-	-	-	- 대상 Entry가 코드 계열 포맷으로 분류된 상태 - 코드 프로퍼티 추출 파이프라인이 활성화된 상태 - 대상 Entry를 읽을 수 있는 권한이 확보된 상태	- 파일이 매우 크거나 바이너리 포함으로 파싱 비용이 과도한 경우 - 언어 감지에 실패하거나 혼합 언어로 단일 언어로 분류하기 어려운 경우 - 코드가 생성물로 판단되어 제외 규칙에 의해 제외되는 경우	- 대상 Entry가 코드 포맷인 상태일 때, 시스템이 추출을 수행하면, 언어·주요 모듈/엔트리포인트·간단 요약 등 자동 프로퍼티를 저장함. - 코드가 변경된 상태일 때, 시스템이 재추출을 수행하면, 자동 프로퍼티 값을 최신 값으로 갱신함. - 추출이 실패한 상태일 때, 시스템이 실패를 기록하면, 실패 항목을 재시도 가능 상태로 유지함.
Extract Sheet Properties	background	Extract Sheet Properties	EIX	EIX-008	아이디어	스프레드시트 Entry에서 시트 이름·주요 컬럼 헤더·행·열 수·간단 지표·요약 등 표 구조 기반 자동 프로퍼티를 추출해 Entry 프로퍼티로 저장	-	-	-	- 대상 Entry가 스프레드시트·테이블 계열 포맷으로 분류된 상태 - 시트 프로퍼티 추출 파이프라인이 활성화된 상태 - 대상 Entry를 읽을 수 있는 권한이 확보된 상태	- 시트가 암호화되어 있거나 권한 제한으로 내용을 읽을 수 없는 경우 - 행·열 수가 매우 커서 전체 로딩이 어려워 샘플링이 필요한 경우 - CSV 등에서 인코딩 문제로 컬럼 헤더 파싱이 실패하는 경우	- 대상 Entry가 시트 포맷인 상태일 때, 시스템이 추출을 수행하면, 시트 이름·주요 컬럼 헤더·행/열 수 등 자동 프로퍼티를 저장함. - 추출 결과가 저장된 상태일 때, 사용자가 해당 Entry를 조회하면, 추출된 프로퍼티를 검색·필터 조건으로 활용할 수 있게 함. - 추출이 실패한 상태일 때, 시스템이 실패를 기록하면, 실패 원인과 대상 Entry를 오류 상세로 조회 가능하게 함.
Extract Image Properties	background	Extract Image Properties	EIX	EIX-009	아이디어	이미지·스크린샷 Entry에서 UI 캡처 여부, 그래프/차트/화이트보드 여부, 캡션·설명 등 이미지 관련 자동 프로퍼티를 추출해 Entry 프로퍼티로 저장	-	-	-	- 대상 Entry가 이미지·스크린샷 계열 포맷으로 분류된 상태 - 이미지 프로퍼티 추출 파이프라인이 활성화된 상태 - 대상 Entry를 읽을 수 있는 권한이 확보된 상태	- 이미지 파일이 손상되었거나 디코딩이 실패하는 경우 - 파일 용량·해상도가 매우 커서 다운샘플링이 필요한 경우 - HEIC 등 특정 코덱/포맷 지원이 제한되는 환경인 경우	- 대상 Entry가 이미지 포맷인 상태일 때, 시스템이 추출을 수행하면, UI 캡처 여부·그래프/차트 여부·캡션/설명 등 자동 프로퍼티를 저장함. - 추출이 완료된 상태일 때, 사용자가 해당 Entry를 검색하면, 추출된 프로퍼티 기반 조건으로 필터링할 수 있게 함. - 추출이 실패한 상태일 때, 시스템이 실패를 기록하면, 실패 항목을 오류 상세에서 확인 가능하게 함.
Extract Audio Properties	background	Extract Audio Properties	EIX	EIX-010	아이디어	오디오 Entry에서 세션 타입(회의/인터뷰/발표 등)·길이·화자 수·핵심 키포인트·요약 등 오디오 관련 자동 프로퍼티를 추출해 Entry 프로퍼티로 저장	-	-	-	- 대상 Entry가 오디오·음성 계열 포맷으로 분류된 상태 - 오디오 프로퍼티 추출 파이프라인이 활성화된 상태 - 대상 Entry를 읽을 수 있는 권한이 확보된 상태	- 오디오 파일이 손상되었거나 디코딩이 실패하는 경우 - 길이가 매우 길어 전사·요약 단계를 분할 처리해야 하는 경우 - 언어 감지 실패 또는 다국어 혼합으로 요약 품질이 불안정한 경우	- 대상 Entry가 오디오 포맷인 상태일 때, 시스템이 추출을 수행하면, 세션 타입·길이·화자 수·키포인트·요약 등 자동 프로퍼티를 저장함. - 추출이 완료된 상태일 때, 사용자가 해당 Entry를 조회하면, 추출된 프로퍼티를 검색·필터 조건으로 활용할 수 있게 함. - 추출이 실패한 상태일 때, 시스템이 실패를 기록하면, 실패 원인과 대상 Entry를 오류 상세로 조회 가능하게 함.
Extract Video Properties	background	Extract Video Propeties	EIX	EIX-011	아이디어	비디오 Entry에서 화면 타입(스크린캐스트/발표/회의 등)·길이·핵심 구간 요약·주요 키워드 등 비디오 관련 자동 프로퍼티를 추출해 Entry 프로퍼티로 저장	-	-	-	- 대상 Entry가 비디오 계열 포맷으로 분류된 상태 - 비디오 프로퍼티 추출 파이프라인이 활성화된 상태 - 대상 Entry를 읽을 수 있는 권한이 확보된 상태	- 비디오 파일이 손상되었거나 코덱 지원 문제로 디코딩이 실패하는 경우 - 길이가 매우 길어 전사·요약·구간 추출을 분할 처리해야 하는 경우 - 오디오 트랙이 없거나 품질이 낮아 전사가 불완전한 경우	- 대상 Entry가 비디오 포맷인 상태일 때, 시스템이 추출을 수행하면, 화면 타입·길이·핵심 구간 요약·키워드 등 자동 프로퍼티를 저장함. - 추출이 완료된 상태일 때, 사용자가 해당 Entry를 검색하면, 추출된 프로퍼티 기반 조건으로 필터링할 수 있게 함. - 추출이 실패한 상태일 때, 시스템이 실패를 기록하면, 실패 항목을 오류 상세에서 확인 가능하게 함.
Index Entry Embeddings	background	Index Entry Embeddings	EIX	EIX-012	아이디어	선택한 Entry 집합에 대해 포맷별 Embeddings 계산 파이프라인을 실행해 임베딩 벡터를 재계산하고 임베딩 인덱스를 갱신	-	-	-	- 임베딩 인덱싱 기능이 활성화된 상태- 임베딩 계산에 사용할 입력 텍스트가 준비된 상태 - 네트워크 연결 및 임베딩 계산 서비스 접근이 가능한 상태	- 임베딩 계산 서비스 오류·타임아웃·레이트 리밋으로 요청이 실패하는 경우 - 입력 텍스트가 비어 있거나 너무 길어 전처리·요약이 필요한 경우 - 사용자 설정 또는 정책으로 특정 경로/포맷이 임베딩 인덱싱에서 제외되는 경우 - 임베딩 모델/스키마 버전 변경으로 재계산이 필요한 경우	- 임베딩 인덱싱이 활성화된 상태일 때, 시스템이 임베딩 작업을 수행하면, Entry 임베딩 벡터를 저장하고 임베딩 인덱스를 갱신함. - 임베딩 인덱싱이 비활성화된 상태일 때, 시스템이 인덱싱을 수행하면, 임베딩 계산 작업을 스케줄링하지 않음. - 임베딩 계산이 실패한 상태일 때, 시스템이 실패를 기록하면, 실패 항목을 재시도 가능 상태로 유지하고 오류 상세를 조회 가능하게 함.
Compute Document Embeddings	background	Compute Document Embeddings	EIX	EIX-013	아이디어	문서·프레젠테이션 Entry의 제목·자동 요약·키포인트 등 비정형 텍스트 프로퍼티를 입력으로 사용해 문서 의미를 표현하는 임베딩 벡터를 계산	-	-	-	- 대상 Entry가 문서·프레젠테이션 계열 포맷으로 분류된 상태 - 문서 관련 텍스트 프로퍼티가 준비된 상태 - 임베딩 인덱싱 기능이 활성화된 상태	- 문서 텍스트 추출이 불완전해 임베딩 입력이 부족한 경우 - 문서 내용이 매우 길어 입력을 축약·샘플링해야 하는 경우 - 임베딩 계산 서비스 오류로 계산이 실패하는 경우	- 문서 Entry가 대상인 상태일 때, 시스템이 임베딩을 계산하면, 문서 의미 임베딩 벡터를 저장함. - 임베딩이 저장된 상태일 때, 시스템이 인덱스를 갱신하면, 의미 기반 검색·유사도 판단에 해당 벡터를 활용할 수 있게 함. - 계산이 실패한 상태일 때, 시스템이 실패를 기록하면, 실패 원인을 오류 상세로 조회 가능하게 함.
Compute Code Embeddings	background	Compute Code Embeddings	EIX	EIX-014	아이디어	코드 Entry의 파일 구조·주요 심볼·주석 요약 등을 입력으로 사용해 코드 의미를 표현하는 임베딩 벡터를 계산	-	-	-	- 대상 Entry가 코드 계열 포맷으로 분류된 상태 - 코드 요약·구조 정보 등 임베딩 입력이 준비된 상태 - 임베딩 인덱싱 기능이 활성화된 상태	- 코드가 너무 크거나 의존 파일이 많아 요약/구조 추출이 제한되는 경우 - 바이너리·미니파이된 코드 등으로 의미 추출이 어려운 경우 - 임베딩 계산 서비스 오류로 계산이 실패하는 경우	- 코드 Entry가 대상인 상태일 때, 시스템이 임베딩을 계산하면, 코드 의미 임베딩 벡터를 저장함. - 임베딩이 저장된 상태일 때, 시스템이 인덱스를 갱신하면, 코드 유사도·검색에 해당 벡터를 활용할 수 있게 함. - 계산이 실패한 상태일 때, 시스템이 실패를 기록하면, 실패 항목을 재시도 가능 상태로 유지함.
Compute Sheet Embeddings	background	Compute Sheet Embeddings	EIX	EIX-015	아이디어	스프레드시트 Entry의 시트 요약·주요 컬럼 설명·대표 행 예시 등을 입력으로 사용해 데이터셋 의미를 표현하는 임베딩 벡터를 계산	-	-	-	- 대상 Entry가 시트 계열 포맷으로 분류된 상태 - 시트 요약·주요 컬럼 설명 등 임베딩 입력이 준비된 상태 - 임베딩 인덱싱 기능이 활성화된 상태	- 행·열이 매우 커서 대표 행/샘플을 선택해야 하는 경우 - 민감 정보가 포함되어 입력에서 마스킹·제외가 필요한 경우 - 임베딩 계산 서비스 오류로 계산이 실패하는 경우	- 시트 Entry가 대상인 상태일 때, 시스템이 임베딩을 계산하면, 데이터셋 의미 임베딩 벡터를 저장함. - 임베딩이 저장된 상태일 때, 시스템이 인덱스를 갱신하면, 의미 기반 검색·유사도 판단에 해당 벡터를 활용할 수 있게 함. - 계산이 실패한 상태일 때, 시스템이 실패를 기록하면, 실패 원인을 오류 상세로 조회 가능하게 함.
Compute Image Embeddings	background	Compute Images Embeddings	EIX	EIX-016	아이디어	이미지·스크린샷 Entry의 캡션·설명 텍스트와 시각적 특징을 입력으로 사용해 이미지 의미를 표현하는 임베딩 벡터를 계산	-	-	-	- 대상 Entry가 이미지·스크린샷 계열 포맷으로 분류된 상태 - 캡션·설명 텍스트 또는 시각 특징 추출 결과가 준비된 상태 - 임베딩 인덱싱 기능이 활성화된 상태	- 이미지 디코딩 또는 특징 추출 실패로 입력이 부족한 경우 - 해상도가 매우 커서 다운샘플링 후 특징 추출이 필요한 경우 - 임베딩 계산 서비스 오류로 계산이 실패하는 경우	- 이미지 Entry가 대상인 상태일 때, 시스템이 임베딩을 계산하면, 이미지 의미 임베딩 벡터를 저장함. - 임베딩이 저장된 상태일 때, 시스템이 인덱스를 갱신하면, 이미지 유사도·검색에 해당 벡터를 활용할 수 있게 함. - 계산이 실패한 상태일 때, 시스템이 실패를 기록하면, 실패 원인을 오류 상세로 조회 가능하게 함.
Compute Audio Embeddings	background	Compute Audio Embeddings	EIX	EIX-017	아이디어	오디오 Entry의 전사 요약·키포인트 등을 입력으로 사용해 오디오 세션 의미를 표현하는 임베딩 벡터를 계산	-	-	-	- 대상 Entry가 오디오 계열 포맷으로 분류된 상태 - 전사 요약·키포인트 등 임베딩 입력이 준비된 상태 - 임베딩 인덱싱 기능이 활성화된 상태	- 전사 실패 또는 언어 감지 실패로 입력이 부족한 경우 - 길이가 매우 길어 입력을 구간별로 축약해야 하는 경우 - 임베딩 계산 서비스 오류로 계산이 실패하는 경우	- 오디오 Entry가 대상인 상태일 때, 시스템이 임베딩을 계산하면, 오디오 세션 의미 임베딩 벡터를 저장함. - 임베딩이 저장된 상태일 때, 시스템이 인덱스를 갱신하면, 유사도·검색에 해당 벡터를 활용할 수 있게 함. - 계산이 실패한 상태일 때, 시스템이 실패를 기록하면, 실패 항목을 재시도 가능 상태로 유지함.
