interaction_title	interaction_id	interaction_type	feature	category_key	feature_id	status	summary	related_region	menu	shortcut
Apply All Generated Filter Suggestions	RCL-004-apply_all_generated_filter_suggestions	command	Compose Collection Filter	RCL	RCL-004	취소	표시된 모든 제안 상태 항목을 한 번에 확정 적용	file_manager_window.content_pane.content_header.collection_filter_composer	-	⌘⌥⏎
Reject All Generated Filter Suggestions	RCL-004-reject_all_generated_filter_suggestions	command	Compose Collection Filter	RCL	RCL-004	취소	표시된 모든 제안 상태 항목을 한 번에 거절해 기존 필터 상태로 복원함	file_manager_window.content_pane.content_header.collection_filter_composer	-	⌘⌥⌫
Open Collection Scope Menu	RCL-001-open_collection_scope_menu	command	Define Collection Scope	RCL	RCL-001	배포 완료	현재 콜렉션 범위를 이해하고 편집할 수 있는 스코프 편집창을 열어 기본 후보, 검색, 범위 상태를 확인·수정할 수 있게 함	file_manager_window.content_pane.content_header.collection_filter_composer	-	-
Show Collection Scope Summary	RCL-001-show_collection_scope_summary	display	Define Collection Scope	RCL	RCL-001	기획 완료	Collection Filter Composer 안에서 현재 콜렉션 스코프를 요약해 보여주고, 기본 범위·명시적 스코프·예외 상태를 빠르게 이해할 수 있게 함	file_manager_window.content_pane.content_header.collection_filter_composer	-	-
Search Collection Scope Candidates	RCL-001-search_collection_scope_candidates	input	Define Collection Scope	RCL	RCL-001	기획 완료	스코프 편집창 안에서 폴더 후보를 검색해 기본 후보 목록에서 검색 결과 상태로 전환	file_manager_window.content_pane.content_header.collection_filter_composer	-	-
Show Collection Scope Candidate Disambiguation	RCL-001-show_collection_scope_candidate_disambiguation	display	Define Collection Scope	RCL	RCL-001	기획 완료	검색 결과에서 동명 폴더를 위치 정보와 보조 표시로 구분해 원하는 범위를 오인 없이 선택할 수 있게 함	file_manager_window.content_pane.content_header.collection_filter_composer	-	-
Add Directory To Collection Scope	RCL-001-add_directory_to_collection_scope	command	Define Collection Scope	RCL	RCL-001	배포 완료	스코프 편집창에서 명시적 범위를 추가해 현재 콜렉션의 대상 범위를 더 구체적으로 정의	file_manager_window.content_pane.content_header.collection_filter_composer	-	-
Remove Directory From Collection Scope	RCL-001-remove_directory_from_collection_scope	command	Define Collection Scope	RCL	RCL-001	배포 완료	스코프 편집창에서 명시적 범위를 제거해 현재 콜렉션의 기준 범위를 단순화하거나 root-only 상태로 복귀	file_manager_window.content_pane.content_header.collection_filter_composer	-	-
Exclude Directory From Collection Scope	RCL-001-exclude_directory_from_collection_scope	command	Define Collection Scope	RCL	RCL-001	기획 완료	현재 기준 범위 안의 특정 하위 경로를 예외로 제외해 전체 범위를 다시 고르지 않고도 범위를 좁힘	file_manager_window.content_pane.content_header.collection_filter_composer	-	-
Restore Directory To Collection Scope	RCL-001-restore_directory_to_collection_scope	command	Define Collection Scope	RCL	RCL-001	기획 완료	예외로 제외된 하위 경로를 다시 포함 상태로 복원해 현재 스코프 의미를 조정	file_manager_window.content_pane.content_header.collection_filter_composer	-	-
Toggle Collection Scope Subfolder Inclusion	RCL-001-toggle_collection_scope_subfolder_inclusion	input	Define Collection Scope	RCL	RCL-001	기획 완료	하위 폴더 자동 포함 규칙을 켜거나 꺼 현재 스코프가 어떤 범위까지 포함하는지 조정	file_manager_window.content_pane.content_header.collection_filter_composer	-	-
Show Collection Scope Exceptions	RCL-001-show_collection_scope_exceptions	display	Define Collection Scope	RCL	RCL-001	기획 완료	현재 기준 범위 아래에서 제외된 예외 목록을 인라인으로 보여줘 현재 범위 의미를 함께 이해할 수 있게 함	file_manager_window.content_pane.content_header.collection_filter_composer	-	-
Show Collection Scope Change Feedback	RCL-001-show_collection_scope_change_feedback	display	Define Collection Scope	RCL	RCL-001	기획 완료	스코프 변경 직후 무엇이 바뀌었는지 알 수 있는 변경 피드백과 최소 되돌리기 상태를 보여줌	file_manager_window.content_pane.content_header.collection_filter_composer	-	-
Add Collection Condition	RCL-005-add_collection_condition	command	Edit Collection Conditions	RCL	RCL-005	배포 완료	Collection Filter Composer에 새 컨디션을 수동으로 추가	file_manager_window.content_pane.content_header.collection_filter_composer	-	-
Change Collection Condition Property	RCL-005-change_collection_condition_property	input	Edit Collection Conditions	RCL	RCL-005	배포 완료	선택한 컨디션의 기준 프로퍼티를 다른 프로퍼티로 변경	file_manager_window.content_pane.content_header.collection_filter_composer	-	-
Change Collection Condition Operator	RCL-005-change_collection_condition_operator	input	Edit Collection Conditions	RCL	RCL-005	배포 완료	선택한 컨디션의 연산자를 다른 연산자로 변경	file_manager_window.content_pane.content_header.collection_filter_composer	-	-
Change Collection Condition Value	RCL-005-change_collection_condition_value	input	Edit Collection Conditions	RCL	RCL-005	배포 완료	선택한 컨디션의 비교 값 또는 범위를 편집해 해당 조건이 만족하는 엔트리 집합을 조정	file_manager_window.content_pane.content_header.collection_filter_composer	-	-
Delete Collection Condition	RCL-005-delete_collection_condition	command	Edit Collection Conditions	RCL	RCL-005	배포 완료	선택한 컨디션을 필터에서 제거	file_manager_window.content_pane.content_header.collection_filter_composer	-	⌫
Undo Collection Filter Changes	RCL-001-undo_collection_filter_changes	command	Define Collection Scope	RCL	RCL-001	배포 완료	최근 수행한 필터 또는 스코프 편집 변경을 한 단계 되돌려 이전 상태로 복원	file_manager_window.content_pane.content_header.collection_filter_composer	-	⌘Z
Redo Collection Filter Changes	RCL-001-redo_collection_filter_changes	command	Define Collection Scope	RCL	RCL-001	배포 완료	되돌린 필터 편집 작업을 한 단계 다시 적용해 되돌리기 전으로 복원	file_manager_window.content_pane.content_header.collection_filter_composer	-	⌘⇧Z
Open Saved Collection	RCL-002-open_saved_collection	command	Manage Retrieval Collections	RCL	RCL-002	기획 완료	저장된 콜렉션을 선택해 해당 콜렉션 페이지를 열고 복원 흐름을 시작	file_manager_window.content_pane.page_container.page_mode_collection	-	-
Restore Saved Collection Snapshot	RCL-002-restore_saved_collection_snapshot	background	Manage Retrieval Collections	RCL	RCL-002	기획 완료	저장된 콜렉션을 다시 열 때 마지막 결과 snapshot과 정의 메타데이터를 먼저 복원해 즉시 확인 가능한 초기 상태를 구성	file_manager_window.content_pane.page_container.page_mode_collection	-	-
Show Restored Collection Snapshot	RCL-002-show_restored_collection_snapshot	display	Manage Retrieval Collections	RCL	RCL-002	기획 완료	저장된 콜렉션을 다시 열 때 복원된 snapshot 결과를 먼저 표시해 이후 필요한 경우에만 refresh가 이어질 수 있게 함	file_manager_window.content_pane.page_container.page_mode_collection	-	-
Save Current Filter As New Collection	RCL-002-save_current_filter_as_new_collection	command	Manage Retrieval Collections	RCL	RCL-002	배포 완료	현재 필터 정의를 가진 새 콜렉션 파일을 생성해 로컬 스토리지에 저장	file_manager_window.content_pane.content_header.page_menu_area	file_menu	⌘⇧S
Indicate Unsaved Collection Filter Changes	RCL-002-indicate_unsaved_collection_filter_changes	display	Manage Retrieval Collections	RCL	RCL-002	배포 완료	저장되지 않은 필터 변경 상태를 알리는 표시를 타이틀 바에 나타냄	file_manager_window.content_pane.content_header.page_info_area	-	-
Discard Collection Filter Changes	RCL-002-discard_collection_filter_changes	command	Manage Retrieval Collections	RCL	RCL-002	배포 완료	미저장 필터 변경 사항을 폐기하고 마지막 저장본의 필터 정의로 되돌림	file_manager_window.content_pane.content_header.collection_filter_composer	file_menu	-
Save Collection Filter Changes	RCL-002-save_collection_filter_changes	command	Manage Retrieval Collections	RCL	RCL-002	배포 완료	현재 콜렉션 파일에 필터 변경 사항을 저장해 정의를 갱신	file_manager_window.content_pane.content_header.page_menu_area	file_menu	⌘⌥S
Rename Collection	RCL-002-rename_collection	input	Manage Retrieval Collections	RCL	RCL-002	배포 완료	현재 보고 있는 콜렉션의 파일 이름을 변경	file_manager_window.content_pane.content_header.page_menu_area	-	-
Delete Collection	RCL-002-delete_collection	command	Manage Retrieval Collections	RCL	RCL-002	배포 완료	현재 보고 있는 콜렉션 파일을 삭제하고 닫음	file_manager_window.content_pane.content_header.page_menu_area	file_menu	-
Alert Unsasved Collection Filter Changes	RCL-002-alert_unsasved_collection_filter_changes	display	Manage Retrieval Collections	RCL	RCL-002	배포 완료	미저장 필터 변경 사항이 존재하는 경우 페이지를 벗어날 때 경고창을 띄움	-	-	-
Import Smart Folder as Collection	RCL-002-import_smart_folder_as_collection	command	Manage Retrieval Collections	RCL	RCL-002	아이디어	Finder Smart Folder 조건을 파싱해 콜렉션 파일로 생성	settings_window	-	-
Execute Filtered Collection Retrieval	RCL-003-execute_filtered_collection_retrieval	background	Retrieve Entries with Filters	RCL	RCL-003	배포 완료	현재 설정된 필터를 기준으로 엔트리 검색을 자동 실행해 결과 목록을 계산하고 결과를 반환	-	-	-
Update Collection Results On Filter Change	RCL-003-update_collection_results_on_filter_change	background	Retrieve Entries with Filters	RCL	RCL-003	배포 완료	필터 정의가 변경될 때 해당 필터로 엔트리 검색을 자동 실행해 결과 목록을 백그라운드에서 갱신	-	-	-
Apply Deterministic Filters	RCL-003-apply_deterministic_filters	background	Retrieve Entries with Filters	RCL	RCL-003	배포 완료	콜렉션 스코프와 시스템·커스텀 프로퍼티 조건을 결정론적으로 평가해 후보 entry 집합을 산출하고, 조건 불일치 entry를 제외	-	-	-
Refresh Collection Results	RCL-003-refresh_collection_results	command	Retrieve Entries with Filters	RCL	RCL-003	배포 완료	현재 설정된 필터를 기준으로 엔트리 검색을 수동 실행해 최신 결과 목록으로 갱신	-	-	-
Mark Collection Results as Stale	RCL-003-mark_collection_results_as_stale	background	Retrieve Entries with Filters	RCL	RCL-003	기획 완료	파일시스템 변경 등으로 현재 결과의 최신성이 깨졌을 때 콜렉션 결과를 stale 상태로 전환해 후속 refresh 필요를 기록	-	-	-
Indicate Collection Results Staleness	RCL-003-indicate_collection_results_staleness	display	Retrieve Entries with Filters	RCL	RCL-003	아이디어	현재 콜렉션 결과가 stale 상태일 때 collection title affordance 영역에 상태를 표시해 사용자가 최신성이 보장되지 않음을 인지할 수 있게 함	file_manager_window.content_pane.content_header	-	-
Request Collection Results Refresh	RCL-003-request_collection_results_refresh	command	Retrieve Entries with Filters	RCL	RCL-003	아이디어	stale 상태를 알리는 affordance에서 사용자가 직접 결과 refresh를 요청	file_manager_window.content_pane.content_header	-	-
Refresh Stale Collection Results on Reopen	RCL-003-refresh_stale_collection_results_on_reopen	background	Retrieve Entries with Filters	RCL	RCL-003	기획 완료	stale 상태의 저장된 콜렉션을 다시 열 때 복원된 snapshot을 먼저 보여준 뒤 필요한 경우에만 결과를 재계산해 갱신	-	-	-
Invalidate Closed Collection Staleness on External Change	RCL-003-invalidate_closed_collection_staleness_on_external_change	background	Retrieve Entries with Filters	RCL	RCL-003	기획 완료	닫혀 있는 콜렉션도 스코프 아래 경로에 외부 변경이 발생하면 stale 기록을 무효화해 다음 reopen 시 최신성 판단이 가능하게 함	-	-	-
Mark Open Collection as Stale on External Change	RCL-003-mark_open_collection_as_stale_on_external_change	background	Retrieve Entries with Filters	RCL	RCL-003	기획 완료	열려 있는 콜렉션에서 외부 변경이 발생하면 즉시 재검색하지 않고 현재 결과를 stale 상태로 표시해 후속 refresh 정책을 유지	file_manager_window.content_pane.page_container.page_mode_collection	-	-
Evaluate Text Query Condition Lexically	RCL-003-evaluate_text_query_condition_lexically	background	Retrieve Entries with Filters	RCL	RCL-003	아이디어	텍스트 쿼리 컨디션을 대상으로 키워드 매칭∙스코어링으로 평가해 키워드 매칭 신호를 생성	-	-	-
Evaluate Text Query Condition Semantically	RCL-003-evaluate_text_query_condition_semantically	background	Retrieve Entries with Filters	RCL	RCL-003	아이디어	텍스트 쿼리 컨디션을 대상으로 임베딩 유사도로 평가해 의미적 유사도 신호를 생성	-	-	-
Combine Hybrid Scores	RCL-003-combine_hybrid_scores	background	Retrieve Entries with Filters	RCL	RCL-003	아이디어	키워드 매칭 신호와 의미적 유사도 신호를 가중 결합해 최종 관련도 스코어를 산출	-	-	-
Rank Entries by Relevance	RCL-003-rank_entries_by_relevance	background	Retrieve Entries with Filters	RCL	RCL-003	아이디어	최종 관련도 스코어 기준으로 결과 엔트리를 정렬하고, 동점 시 안정적인 동점 처리 규칙으로 일관된 순서를 보장	-	-	-
Open Contextual Chat	CBW-001-open_contextual_chat	command	Manage Chat Request Lifecycle	CBW	CBW-001	기획 완료	현재 페이지 또는 선택 맥락을 초기 request context로 반영하기 위해 Inspector Pane을 열고 Chat Mode로 전환한 뒤 요청 입력 준비 상태를 연다.	file_manager_window.inspector_pane.inspector_mode_chat	-	⌘L
Submit Chat Request	CBW-001-submit_chat_request	command	Manage Chat Request Lifecycle	CBW	CBW-001	기획 완료	Chat Field에 입력한 메시지와 현재 요청 컨텍스트를 기준으로 새 chat request 실행을 시작한다.	file_manager_window.inspector_pane.inspector_mode_chat.chat_field	-	Enter
Show Request Processing State	CBW-001-show_request_processing_state	display	Manage Chat Request Lifecycle	CBW	CBW-001	기획 완료	대상 chat request의 처리 중·완료·실패·취소 상태를 메시지 영역에 일관되게 표시하고, regenerate 이후에는 현재 유효한 request 상태만 남긴다.	file_manager_window.inspector_pane.inspector_mode_chat.message_area	-	-
Cancel Active Chat Request	CBW-001-cancel_active_chat_request	command	Manage Chat Request Lifecycle	CBW	CBW-001	기획 완료	현재 실행 중인 chat request의 응답 생성과 후속 처리를 중단하도록 요청한다.	file_manager_window.inspector_pane.inspector_mode_chat.chat_field	-	-
Regenerate Chat Response	CBW-001-regenerate_chat_response	command	Manage Chat Request Lifecycle	CBW	CBW-001	기획 완료	이전에 고정된 컨텍스트 스냅샷과 현재 활성 model selection 기준으로 대상 요청의 응답을 다시 생성하고, 이후 대화는 branch 없이 현재 흐름 기준으로 초기화한다.	file_manager_window.inspector_pane.inspector_mode_chat.message_area	-	-
Show Request Context	CBW-002-show_request_context	display	Manage Request Context	CBW	CBW-002	기획 완료	현재 요청의 현재 맥락(페이지·선택 항목)과 명시적으로 추가한 첨부 대상을 Chat Field 주변에서 분리해 표시한다.	file_manager_window.inspector_pane.inspector_mode_chat.chat_field	-	-
Add Attachment from Picker	CBW-002-add_attachment_from_picker	command	Manage Request Context	CBW	CBW-002	기획 완료	context picker를 열어 현재 요청에 포함할 파일·폴더·컬렉션 등 첨부 대상을 선택해 추가한다.	file_manager_window.inspector_pane.inspector_mode_chat.chat_field	-	-
Add Selection to Context	CBW-002-add_selection_to_context	command	Manage Request Context	CBW	CBW-002	기획 완료	현재 Content Pane의 선택 항목을 현재 요청 컨텍스트의 선택 항목으로 갱신한다.	file_manager_window.content_pane.page_container	entry_context_menu_root	-
Add Inline Attachment	CBW-002-add_inline_attachment	input	Manage Request Context	CBW	CBW-002	기획 완료	Chat Field에서 인라인 참조 입력으로 현재 요청에 포함할 첨부 대상을 검색·삽입한다.	file_manager_window.inspector_pane.inspector_mode_chat.chat_field	-	-
Remove Request Context	CBW-002-remove_request_context	command	Manage Request Context	CBW	CBW-002	기획 완료	현재 요청 컨텍스트에 포함된 특정 항목을 제거해 이후 요청 실행 입력에서 제외한다.	file_manager_window.inspector_pane.inspector_mode_chat.chat_field	-	-
Capture Request Context Snapshot	CBW-002-capture_request_context_snapshot	background	Manage Request Context	CBW	CBW-002	기획 완료	요청 제출 시점의 현재 요청 컨텍스트 범위와 항목 구성을 고정해 해당 request 전용 스냅샷을 생성한다.	-	-	-
Prepare Contextual Chat Request	CBW-003-prepare_contextual_chat_request	background	Resolve Contextual Chat Requests	CBW	CBW-003	기획 완료	현재 컨텍스트 스냅샷, 이전 대화 이력이 연결된 대화 세션, 활성 모델 선택에 따라 정해진 프로바이더 연결 정보, 요청 메시지를 결합해 현재 대화 요청의 실행 입력을 확정한다.	-	-	-
Generate Contextual Chat Response	CBW-003-generate_contextual_chat_response	background	Resolve Contextual Chat Requests	CBW	CBW-003	기획 완료	준비된 대화 요청 실행 입력을 사용해 외부 AI에 요청을 보내 응답 스트림 또는 최종 응답을 생성한다.	-	-	-
Stream Contextual Chat Response	CBW-003-stream_contextual_chat_response	display	Resolve Contextual Chat Requests	CBW	CBW-003	기획 완료	생성 중인 응답을 메시지 영역에 점진적으로 표시하고 완료 시 최종 응답으로 확정한다.	file_manager_window.inspector_pane.inspector_mode_chat.message_area	-	-
Show Request Resolution Failure	CBW-003-show_request_resolution_failure	display	Resolve Contextual Chat Requests	CBW	CBW-003	기획 완료	대화 요청 처리 또는 응답 생성이 실패하면 실패 이유와 재시도 진입점을 메시지 영역에 표시한다.	file_manager_window.inspector_pane.inspector_mode_chat.message_area	-	-
Show Active Chat Provider & Model	CBW-004-show_active_chat_provider_and_model	display	Manage Active Chat Provider & Model	CBW	CBW-004	기획 완료	Chat Field 내부의 모델 선택 드롭다운에 현재 대화에 적용 중인 활성 모델 이름을 표시한다.	file_manager_window.inspector_pane.inspector_mode_chat.chat_field	-	-
Open Chat Model Selector	CBW-004-open_chat_model_selector	command	Manage Active Chat Provider & Model	CBW	CBW-004	기획 완료	Chat Field 내부의 모델 선택 드롭다운을 열어 현재 대화에서 선택할 수 있는 모델 목록을 확인한다.	file_manager_window.inspector_pane.inspector_mode_chat.chat_field	-	-
Select Active Chat Model	CBW-004-select_active_chat_model	input	Manage Active Chat Provider & Model	CBW	CBW-004	기획 완료	현재 대화에 적용할 모델을 선택해 다음 요청부터 사용할 활성 모델을 갱신한다.	file_manager_window.inspector_pane.inspector_mode_chat.chat_field	-	-
Start Chat Conversation Session	CBW-005-start_chat_conversation_session	background	Maintain Chat Conversation Session	CBW	CBW-005	기획 완료	현재 맥락 기반 대화에 진입하거나 첫 요청을 보내기 전에 현재 대화 세션을 만들고 초기 상태를 설정한다.	-	-	-
Continue Chat Conversation Session	CBW-005-continue_chat_conversation_session	background	Maintain Chat Conversation Session	CBW	CBW-005	기획 완료	이전 turn history를 반영해 현재 대화 세션을 다음 요청까지 이어 가도록 갱신하고 최소 연속성을 유지한다.	-	-	-
Restore Chat Conversation Session	CBW-005-restore_chat_conversation_session	background	Maintain Chat Conversation Session	CBW	CBW-005	기획 완료	기존 대화로 돌아오면 직전 대화 세션과 이전 턴 히스토리를 복원하고, 복원할 수 없으면 새 대화 세션을 시작한다.	-	-	-
Add New Custom Property on Entry	CEP-001-add_new_custom_property_on_entry	command	Manage Custom Entry Properties	CEP	CEP-001	드래프트	<<AI>> 선택한 엔트리에 새 사용자 정의 프로퍼티를 추가하고 초기 값을 설정한다. 필요 시 워크스페이스 차원의 프로퍼티 스키마도 함께 생성한다.	file_manager_window.inspector_pane.inspector_mode_property	edit_menu	-
Rename Custom Property Key	CEP-001-rename_custom_property_key	input	Manage Custom Entry Properties	CEP	CEP-001	드래프트	<<AI>> 선택한 엔트리에서 사용 중인 커스텀 프로퍼티의 키 이름을 변경하고, 워크스페이스 전역에서 해당 키를 사용하는 모든 엔트리·규칙·컬렉션 정의를 함께 업데이트한다.	file_manager_window.inspector_pane.inspector_mode_property	-	-
Edit Custom Property Value	CEP-001-edit_custom_property_value	input	Manage Custom Entry Properties	CEP	CEP-001	드래프트	<<AI>> 선택한 엔트리에서 사용 중인 커스텀 프로퍼티의 라벨, 설명, 표시 옵션 등 정의 정보를 수정하고, 동일 프로퍼티를 사용하는 다른 엔트리에도 반영한다.	file_manager_window.inspector_pane.inspector_mode_property	-	-
Delete Custom Property	CEP-001-delete_custom_property	input	Manage Custom Entry Properties	CEP	CEP-001	드래프트	<<AI>> 선택한 엔트리에서 커스텀 프로퍼티를 제거하고, 필요 시 워크스페이스 차원에서 프로퍼티 스키마를 비활성화하거나 삭제하는 옵션을 제공한다.	file_manager_window.inspector_pane.inspector_mode_property	edit_menu	-
Open Custom Property Schema List	CEP-002-open_custom_property_schema_list	command	Define Custom Property Schema	CEP	CEP-002	아이디어	<<AI>> 워크스페이스에 정의된 모든 사용자 프로퍼티 스키마를 리스트로 불러와 조회·검색·필터링할 수 있는 화면을 연다.	file_manager_window.inspector_pane.inspector_mode_property	view_menu	-
Create Custom Property Schema	CEP-002-create_custom_property_schema	command	Define Custom Property Schema	CEP	CEP-002	아이디어	<<AI>> 새 사용자 정의 프로퍼티 스키마를 생성하고 이름, 키, 타입, 기본값, 표시 옵션 등을 설정한다.	file_manager_window.inspector_pane.inspector_mode_property	edit_menu	-
Edit Custom Property Schema	CEP-002-edit_custom_property_schema	input	Define Custom Property Schema	CEP	CEP-002	아이디어	<<AI>> 기존 사용자 프로퍼티 스키마의 이름, 설명, 타입, 표시 옵션 등을 수정해 워크스페이스 전역 정의를 업데이트한다.	file_manager_window.inspector_pane.inspector_mode_property	-	-
Disable Custom Property Schema	CEP-002-disable_custom_property_schema	command	Define Custom Property Schema	CEP	CEP-002	아이디어	<<AI>> 더 이상 사용하지 않을 사용자 프로퍼티 스키마를 비활성화해 신규 편집 UI에서 선택되지 않도록 숨긴다.	file_manager_window.inspector_pane.inspector_mode_property	edit_menu	-
Delete Custom Property Schema	CEP-002-delete_custom_property_schema	command	Define Custom Property Schema	CEP	CEP-002	아이디어	<<AI>> 선택한 사용자 프로퍼티 스키마를 완전히 삭제해 이후 어떤 엔트리에서도 사용할 수 없도록 한다.	file_manager_window.inspector_pane.inspector_mode_property	edit_menu	-
Analyze Custom Property Usage	CEP-002-analyze_custom_property_usage	background	Define Custom Property Schema	CEP	CEP-002	아이디어	<<AI>> 워크스페이스 전체를 스캔해 각 사용자 프로퍼티 스키마가 어디에서 얼마나 사용되는지 사용 현황을 분석한다.	-	-	-
Detect Redundant Custom Properties	CEP-002-detect_redundant_custom_properties	background	Define Custom Property Schema	CEP	CEP-002	아이디어	<<AI>> 이름·타입·사용처가 유사한 중복·유사 사용자 프로퍼티 스키마 후보를 자동으로 탐지해 정리 대상으로 제안한다.	-	-	-
Merge Custom Property Schemas	CEP-002-merge_custom_property_schemas	command	Define Custom Property Schema	CEP	CEP-002	아이디어	<<AI>> 선택한 여러 사용자 프로퍼티 스키마를 하나의 타깃 스키마로 병합하는 설정 플로우를 제공한다.	file_manager_window.inspector_pane.inspector_mode_property	edit_menu	-
Migrate Custom Property Values	CEP-002-migrate_custom_property_values	command	Define Custom Property Schema	CEP	CEP-002	아이디어	<<AI>> 병합·변경된 스키마에 맞춰 기존 엔트리의 사용자 프로퍼티 값을 자동으로 이동·정규화하는 배치 작업을 실행한다.	file_manager_window.inspector_pane.inspector_mode_property	edit_menu	-
Disable Unused Custom Property	CEP-002-disable_unused_custom_property	command	Define Custom Property Schema	CEP	CEP-002	아이디어	<<AI>> 사용량이 거의 없거나 더 이상 쓰지 않는 사용자 프로퍼티 스키마를 비활성화해 신규 엔트리에서 사용되지 않게 한다.	file_manager_window.inspector_pane.inspector_mode_property	edit_menu	-
Rollback Custom Property Migration	CEP-002-rollback_custom_property_migration	command	Define Custom Property Schema	CEP	CEP-002	아이디어	<<AI>> 직전에 실행된 프로퍼티 마이그레이션 작업을 취소하고, 영향을 받은 스키마와 값을 이전 상태로 되돌린다.	file_manager_window.inspector_pane.inspector_mode_property	edit_menu	-
Create Computed Property	CEP-003-create_computed_property	command	Computed Properties	CEP	CEP-003	아이디어	<<AI>> 다른 프로퍼티나 시스템 메타데이터를 조합해 자동 계산되는 새 Computed Property를 정의한다.	file_manager_window.inspector_pane.inspector_mode_property	edit_menu	-
Edit Computed Property Formula	CEP-003-edit_computed_property_formula	input	Computed Properties	CEP	CEP-003	아이디어	<<AI>> 기존 Computed Property의 수식을 수정해 계산 방식과 참조 프로퍼티 구성을 변경한다.	file_manager_window.inspector_pane.inspector_mode_property	-	-
Preview Computed Property Result	CEP-003-preview_computed_property_result	display	Computed Properties	CEP	CEP-003	아이디어	<<AI>> 샘플 엔트리 집합에 대해 Computed Property 수식이 어떻게 평가되는지 미리 계산해 결과를 보여준다.	file_manager_window.inspector_pane.inspector_mode_property	view_menu	-
View Computed Property Errors	CEP-003-view_computed_property_errors	display	Computed Properties	CEP	CEP-003	아이디어	<<AI>> Computed Property 계산 과정에서 발생한 오류 목록과 원인을 한 화면에서 조회한다.	file_manager_window.inspector_pane.inspector_mode_property	view_menu	-
Open New Content Tab	CTM-001-open_new_content_tab	command	Handle Content Tab	CTM	CTM-001	준비 완료	해당 File Manager 내, 새 Session Content Tab을 추가	file_manager_window.sidebar.sidebar_body.content_tabs_area	file_menu	⌘T
Close Content Tab	CTM-001-close_content_tab	command	Handle Content Tab	CTM	CTM-001	준비 완료	현재 Content Tab을 닫음	file_manager_window.sidebar.sidebar_body.content_tabs_area	file_menu	⌘W
Close Other Content Tabs	CTM-001-close_other_content_tabs	command	Handle Content Tab	CTM	CTM-001	준비 완료	현재 Content Tab을 제외한 나머지 Content Tab을 모두 닫음	file_manager_window.sidebar.sidebar_body.content_tabs_area	entry_context_menu_root	-
Reorder Content Tab	CTM-001-reorder_content_tab	command	Handle Content Tab	CTM	CTM-001	준비 완료	해당 Content Tab의 순서를 재배치	file_manager_window.sidebar.sidebar_body.content_tabs_area	-	-
Move Content Tab to New File Manager Window	CTM-001-move_content_tab_to_new_file_manager_window	command	Handle Content Tab	CTM	CTM-001	준비 완료	해당 Contnet Tab을 새 File Manager Window로 분리해 별도 창으로 이동	file_manager_window.sidebar.sidebar_body.content_tabs_area	entry_context_menu_root	-
Move Content Tab to Another File Manager Window	CTM-001-move_content_tab_to_another_file_manager_window	command	Handle Content Tab	CTM	CTM-001	준비 완료	해당 Content Tab을 다른 File Manager로 배치	file_manager_window.sidebar.sidebar_body.content_tabs_area	-	-
Restrore Last Closed Tab	CTM-001-restrore_last_closed_tab	command	Handle Content Tab	CTM	CTM-001	준비 완료	가장 최근에 닫은 Content Tab을 복원	file_manager_window.sidebar	file_menu	⌘⇧T
Duplicate Content Tab	CTM-001-duplicate_content_tab	command	Handle Content Tab	CTM	CTM-001	준비 완료	해당 Content Tab을 동일한 상태의 Content Tab으로 복제해 추가	file_manager_window.sidebar.sidebar_body.content_tabs_area	file_menu	⌘D
Select Content Tabs	CTM-001-select_content_tabs	command	Handle Content Tab	CTM	CTM-001	준비 완료	Sidebar의 Content Tab List에서 하나 이상의 Content Tab을 선택	file_manager_window.sidebar.sidebar_body.content_tabs_area	-	-
Close Selected Content Tabs	CTM-001-close_selected_content_tabs	command	Handle Content Tab	CTM	CTM-001	준비 완료	선택한 Content Tab들을 닫음	file_manager_window.sidebar.sidebar_body.content_tabs_area	entry_context_menu_root	⌘W
Reorder Selected Content Tabs	CTM-001-reorder_selected_content_tabs	command	Handle Content Tab	CTM	CTM-001	준비 완료	선택한 Content Tab들의 순서를 재배치	file_manager_window.sidebar.sidebar_body.content_tabs_area	-	-
Move Selected Content Tabs to Another File Manager Window	CTM-001-move_selected_content_tabs_to_another_file_manager_window	command	Handle Content Tab	CTM	CTM-001	준비 완료	선택한 Content Tab들을 다른 File Manager로 일괄 이동	file_manager_window.sidebar.sidebar_body.content_tabs_area	-	-
Duplicate Selected Content Tabs	CTM-001-duplicate_selected_content_tabs	command	Handle Content Tab	CTM	CTM-001	준비 완료	선택한 Content Tab들을 각각 동일한 상태의 Content Tab으로 복제해 추가	file_manager_window.sidebar.sidebar_body.content_tabs_area	file_menu	⌘D
Set Current Content Tab to Previous	CTM-002-set_current_content_tab_to_previous	command	Set Current Content Tab	CTM	CTM-002	준비 완료	Content Tab List 상 현재 Content Tab보다 이전 위치의 Content Tab으로 전환	file_manager_window.sidebar.sidebar_body.content_tabs_area	-	⌘⇧[
Set Current Content Tab to Next	CTM-002-set_current_content_tab_to_next	command	Set Current Content Tab	CTM	CTM-002	준비 완료	Content Tab List 상 현재 Content Tab보다 다음 위치의 Content Tab으로 전환	file_manager_window.sidebar.sidebar_body.content_tabs_area	-	⌘⇧]
Set Current Content Tab by Index	CTM-002-set_current_content_tab_by_index	command	Set Current Content Tab	CTM	CTM-002	준비 완료	Content Tab List 상 위치한 번호와 일치하는 Content Tab으로 전환	file_manager_window.sidebar.sidebar_body.content_tabs_area	-	⌘1, ⌘2, ... , ⌘0
